Factory_Name,Factory_Type,Product_Type,Brands,Occasion,Supplier_Group,City,State,Country,Total_Workers,Line_Workers,Percent_Female_Workers,Percent_Migrant_Workers
"PARAMOUNT APPAREL INTERNATIONAL, INC.",FINISHED GOODS,APPAREL,NIKE,Collegiate,PARAMOUNT,BOURBON,MISSOURI,USA,560,296,0.59,0.00
"PARAMOUNT APPAREL INT'L, INC. (WINONA MO)",FINISHED GOODS,APPAREL,NIKE,Collegiate,PARAMOUNT,WINONA,MISSOURI,USA,94,91,0.70,0.00
PEGASUS FOOTWEAR CO. LTD.,FINISHED GOODS,FOOTWEAR,"NIKE, HURLEY",,PEGASUS,GUANGZHOU,GUANGDONG,CHINA,1770,1367,0.78,0.89
PETTENATI,FINISHED GOODS,APPAREL,NIKE,,PETTENATI,CAXIAS DO SUL,RIO GRANDE DO SUL,BRAZIL,565,426,0.83,0.02
PETTENATI,MATERIALS,MATERIALS,NIKE,,PETTENATI,CAXIAS DO SUL,RIO GRANDE DO SUL,BRAZIL,,,0.00,0.00
PETTENATI CENTRO AMERICA SA DE CV,MATERIALS,MATERIALS,NIKE,,PETTENATI,COATEPEQUE,SAN SALVADOR,EL SALVADOR,,,0.00,0.00
"PILOTKNIT SPORT WEAR CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,,NO SUPPLIER GROUP,MUANG,SAMUTSAKHON,THAILAND,773,674,0.65,0.77
PINE TREE COMPANY FOR TEXTILE MANUFACTURING PSC,FINISHED GOODS,APPAREL,NIKE,,TAI WAH,AMMAN,JORDAN,JORDAN,1943,1754,0.74,0.78
"PINGHU LIPAI BAGS AND LUGGAGE CO., LTD.",FINISHED GOODS,EQUIPMENT,"NIKE, CONVERSE",,NO SUPPLIER GROUP,PINGHU,ZHEJIANG,CHINA,136,84,0.63,0.00
PINGXIANG CITY GUANGXUAN FOOTWEAR CO. LTD.,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,SHOETOWN,PINGXIANG,JIANGXI,CHINA,1358,1237,0.92,0.03
PMI JOINEASE PLASTIC & METAL PRODUCTS,FINISHED GOODS,EQUIPMENT,"NIKE, HURLEY",,NO SUPPLIER GROUP,HUI ZHOU,GUANGDONG,CHINA,1040,704,0.46,0.00
PONY LEATHER,MATERIALS,MATERIALS,NIKE,,PONY LEATHER,CHANG HUA,T'AI-WAN,TAIWAN,,,0.00,0.00
POU CHEN CORPORATION,FINISHED GOODS,FOOTWEAR,"NIKE, CONVERSE",Collegiate,POU CHEN,CHANG HWA,TAIWAN,TAIWAN,1877,615,0.64,0.00
POU CHEN VIETNAM ENTERPRISE LTD.,FINISHED GOODS,FOOTWEAR,NIKE,Collegiate,POU CHEN,BIEN HOA CITY,DONG NAI,VIETNAM,17516,14178,0.85,0.00
POVOLO,FINISHED GOODS,APPAREL,NIKE,,POVOLO,GALLARATE,VERESE,ITALY,28,22,0.90,0.09
POWER WIN PLASTIC PRODUCTS (S.Z.) COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,NO SUPPLIER GROUP,SHENZEN,SHENZHEN,CHINA,36,31,0.54,0.00
PRATIBHA SYNTEX LTD. (UNIT VI),FINISHED GOODS,APPAREL,"NIKE, CONVERSE",,PRATIBHA SYNTEX,"PITHAMPUR, DISTRICT DHAR",MADHYA PRADESH,INDIA,1997,1351,0.52,0.00
PREMIER OPTICAL (SHENZHEN) LIMITED COMPNAY,FINISHED GOODS,EQUIPMENT,CONVERSE,,NO SUPPLIER GROUP,SHENZHEN CITY,PRC,CHINA,162,141,0.50,0.00
"PRIMA SEJATI SEJAHTERA, PT",FINISHED GOODS,APPAREL,"CONVERSE, HURLEY",,PT PANCAPRIMA,BOYOLALI,JAWA TENGAH,INDONESIA,2780,2131,0.59,0.00
PRIME ASIA (CHINA),MATERIALS,MATERIALS,"NIKE, CONVERSE",,PRIME ASIA,DONGGUAN,GUANGDONG,CHINA,,,0.00,0.00
PRIME ASIA (VIETNAM),MATERIALS,MATERIALS,NIKE,,PRIME ASIA,TAN THANH,DONG NAI,VIETNAM,,,0.00,0.00
PRO KINGTEX VIETNAM CO,FINISHED GOODS,APPAREL,NIKE,,NO SUPPLIER GROUP,HO CHI MINH CITY,,VIETNAM,,,0.00,0.00
"PROKNIT KNITTING CO., LTD.",MATERIALS,MATERIALS,NIKE,,RAY FABRICS (CHUNRIH RD),TAOYUAN,T'AI-WAN,TAIWAN,,,0.00,0.00
"PROMAX TEXTILE CO., LTD.",MATERIALS,MATERIALS,NIKE,,"PROMAX TEXTILE CO., LTD.",TAINAN,T'AI-WAN,TAIWAN,,,0.00,0.00
"PROMAX TEXTILE CO., LTD. -6TH ROAD",MATERIALS,MATERIALS,NIKE,,"PROMAX TEXTILE CO., LTD.",NHON TRACH DISTRICT,DONG NAI,VIETNAM,,,0.00,0.00
"PROVIDENCE INDUSTRY, DBA (MYDYER.COM)",FINISHED GOODS,APPAREL,HURLEY,,NO SUPPLIER GROUP,LONG BEACH,CALIFORNIA,USA,168,166,0.90,0.00
PT  MAREL SUKSES PRATAMA,FINISHED GOODS,EQUIPMENT,CONVERSE,,NO SUPPLIER GROUP,YOGYAKARTA,DI YOGYAKARTA,INDONESIA,180,153,0.47,0.00
PT ADIS DIMENSION FOOTWEAR,FINISHED GOODS,FOOTWEAR,NIKE,,SHOETOWN,TANGERANG,BANTEN,INDONESIA,8307,7406,0.52,0.00
PT ASIA DWIMITRA INDUSTRI,FINISHED GOODS,FOOTWEAR,NIKE,,SHOETOWN,TANGERANG,BANTEN,INDONESIA,2100,1970,0.46,0.00
PT CHANG SHIN REKSAJAYA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,,CHANGSHIN,LELES,JAWA BARAT,INDONESIA,6239,5843,0.90,0.00
PT DAYUP INDO,FINISHED GOODS,EQUIPMENT,NIKE,,PT DAYUP INDO,JAKARTA,DKI JAKARTA,INDONESIA,1178,1089,0.93,0.00
PT DONG A DECAL,FINISHED GOODS,APPAREL,NIKE,,HOJEON,JAKARTA,DKI JAKARTA,INDONESIA,536,501,0.47,0.01
